headline;source;section;published;abstract;keywords;word_count
Apple Jumps Into A.I. Fray With Apple Intelligence;The New York Times;Technology;10/06/2024;The iPhone maker, which has been slow to embrace artificial intelligence, will weave it into the technology that runs on billions of devices.;['Artificial Intelligence', 'Computers and the Internet', 'iPhone', 'Privacy', 'ChatGPT', 'Apple Inc', 'OpenAI Labs'];1256
Apple and Nvidia in Talks to Invest in OpenAI;The New York Times;Technology;29/08/2024;Led by the investment firm Thrive Capital, the new deal would value the artificial intelligence start-up at over $100 billion.;['Artificial Intelligence', 'Computers and the Internet', 'Apple Inc', 'Microsoft Corp', 'NVIDIA Corporation', 'OpenAI Labs', 'Thrive Capital'];454
Apple Rethinks Its Movie Strategy After a String of Misses;The New York Times;Business;25/08/2024;“Wolfs,” a new film starring George Clooney and Brad Pitt, was going to get a robust theatrical release. But the company is curtailing that plan.;['Movies', 'Apple TV Plus', 'Apple Inc', 'The Instigators (Movie)', 'Clooney, George', 'Van Amburg, Zack (1970- )', 'Erlicht, Jamie (1968- )', 'Pitt, Brad', 'Watts, Jon (Film Director)', 'Box Office Sales', 'Video Recordings, Downloads and Streaming', 'Wolfs (Movie)'];1281
Apple Giving Ground on App Store Rules to Appease Regulators;The New York Times;Technology;16/08/2024;The company faces pressure from governments around the world and complaints from companies that it is still too restrictive.;['Apple Inc', 'Mobile Applications', 'Software', 'Prices (Fares, Fees and Rates)', 'Antitrust Laws and Competition Issues', 'iPhone', 'Spotify', 'Epic Games', 'Computers and the Internet', 'European Commission', 'Europe', 'Justice Department', 'Regulation and Deregulation of Industry'];852
Google Debuts A.I.-Powered Phones in Latest Attempt to Best the iPhone;The New York Times;Technology;13/08/2024;The internet giant unveiled the next generation of Pixel phones, headphones and watches to stand out in a hardware market that has mostly ignored it.;['Alphabet Inc', 'Google Inc', 'Pichai, Sundar', 'Artificial Intelligence', 'Computers and the Internet', 'Apple Inc', 'Smartphones', 'Android (Operating System)'];838
Apple Store Workers Get First U.S. Contract;The New York Times;Business;07/08/2024;The agreement at a Maryland store, the first to unionize, raises wages roughly 10 percent over three years and guarantees benefits and severance pay.;['Apple Inc', 'Shopping and Retail', 'Labor and Jobs', 'Organized Labor', 'Towson (Md)', 'International Assn of Machinists and Aerospace Workers', 'Wages and Salaries', 'Employee Fringe Benefits', 'Communications Workers of America', 'Oklahoma City (Okla)'];827
Berkshire’s Cash Stockpile Soars as It Cuts Its Stake in Apple;The New York Times;Business;03/08/2024;The conglomerate reported nearly $277 billion in cash in the second quarter. And while it sold about 390 million shares in Apple, it still owned about 400 million.;['Company Reports', 'Stocks and Bonds', 'Computers and the Internet', 'Berkshire Hathaway Inc', 'Apple Inc', 'Buffett, Warren E'];502
Sales of Macs and iPads Lead Apple’s Quarterly Revenue Up 5%;The New York Times;Technology;01/08/2024;While iPhone sales dropped 1 percent, consumer interest in Apple’s flagship product is expected to pick up later this year.;['Computers and the Internet', 'Artificial Intelligence', 'Company Reports', 'iPhone', 'Regulation and Deregulation of Industry', 'Apple Inc'];730
After Apple, Jony Ive Is Building an Empire of His Own;The New York Times;Technology;21/09/2024;Five years after leaving Apple, the iPhone designer is forging a new life in San Francisco, one imaginative building at a time.;['audio-neutral-immersive', 'audio-neutral-informative', 'Design', 'Content Type: Personal Profile', 'Computers and the Internet', 'Real Estate (Commercial)', 'Artificial Intelligence', 'LoveFrom (Design Firm)', 'Apple Inc', 'OpenAI Labs', 'Ive, Jonathan', 'Jobs, Steven P', 'San Francisco (Calif)'];2894
Apple and Goldman Sachs Must Pay Nearly $90 Million in Credit-Card Inquiry;The New York Times;Business;23/10/2024;The penalties and customer refunds stem from an investigation by the Consumer Financial Protection Bureau into Apple Card, which Goldman issues.;['Apple Inc', 'Goldman Sachs Group Inc', 'Credit Cards', 'Fines (Penalties)', 'Banking and Financial Institutions', 'Consumer Financial Protection Bureau', 'Consumer Protection', 'Customer Relations', 'workrelated'];622
Apple’s A.I. Is Landing Soon on iPhones. Here’s What It’s Like.;The New York Times;Technology;02/10/2024;The initial version of Apple Intelligence focuses on helping you with words and photos. Prepare to be impressed and unnerved.;['iPhone', 'Artificial Intelligence', 'Software', 'Computers and the Internet', 'Apple Inc', 'Smartphones', 'Content Type: Service'];1179
China’s Huawei Takes Aim at Apple With Latest Smartphone;The New York Times;Business;26/11/2024;Last year, a chip breakthrough put Huawei on top of the Chinese smartphone market. Now it is rolling out its newest phone, the Mate 70 series.;['Huawei Technologies Co Ltd', 'Smartphones', 'Computer Chips', 'Semiconductor Manufacturing International Corporation', 'Computers and the Internet', 'Taiwan Semiconductor Manufacturing Company Ltd', 'China'];849
A Miniature New York Made of Bark and Acorns;The New York Times;New York;18/11/2024;At the New York Botanical Garden’s model train show, the city’s famous buildings cluster around the tracks.;['New York City', 'Gardens and Gardening', 'Flowers and Plants', 'Models and Replicas', 'Buildings (Structures)', 'Railroads', 'Christmas', 'Acorns', 'Falun Gong', 'Bronx (NYC)'];1446
Tech Giants Face a Familiar Uncertainty With Trump;The New York Times;Technology;07/11/2024;Apple, Amazon, Google, Meta and others learned during the last Trump administration to expect the unexpected when it came to Washington scrutiny and support.;['Computers and the Internet', 'Social Media', 'Presidential Election of 2024', 'Regulation and Deregulation of Industry', 'Antitrust Laws and Competition Issues', 'Law and Legislation', 'Artificial Intelligence', 'Mergers, Acquisitions and Divestitures', 'Trump, Donald J'];1049
When Eve and Eve Bit the Apple;The New York Times;Style;01/11/2024;In this essay from 2016, a writer struggles to reconcile her love for a woman with being “a good Christian girl.”;['Love (Emotion)', 'Homosexuality and Bisexuality', 'Christians and Christianity', 'Dating and Relationships'];1681
Apple Sued for Failing to Curtail Child Sexual Abuse Material on iCloud;The New York Times;Technology;08/12/2024;Victims of abuse are seeking more than $1.2 billion in damages, arguing that the company abandoned a 2021 system it developed to find abusive material.;['Child Abuse and Neglect', 'Computers and the Internet', 'Sex Crimes', 'Cloud Computing', 'Suits and Litigation (Civil)', 'Child Pornography', 'Apple Inc', 'Heat Initiative (Advocacy Group)', 'iCloud', 'Compensation for Damages (Law)'];1674
Apple Plans to Disable A.I. Features Summarizing News Notifications;The New York Times;Technology;16/01/2025;The company’s Apple Intelligence system has erroneously characterized news stories, provoking a backlash from media companies.;['Apple Inc', 'Artificial Intelligence', 'Software', 'News and News Media', 'iPhone', 'British Broadcasting Corp', 'Computers and the Internet'];694
Apple’s Dictation System Transcribes the Word ‘Racist’ as ‘Trump’;The New York Times;Technology;25/02/2025;The company said it was working to fix the problem after iPhone users began reporting the issue.;['Apple Inc', 'Artificial Intelligence', 'Trump, Donald J', 'iPhone', 'Siri', 'Cook, Timothy D', 'Software', 'Computers and the Internet'];413
Apple Vows to Build A.I. Servers in Houston and Spend $500 Billion in U.S.;The New York Times;Business;24/02/2025;The company pledged the multibillion-dollar investment over the next four years and said it would create 20,000 jobs. The Texas facility is set to open in 2026.;['Apple Inc', 'Cook, Timothy D', 'Trump, Donald J', 'Computers and the Internet', 'Factories and Manufacturing', 'Artificial Intelligence', 'Houston (Tex)', 'Foxconn Technology', 'Customs (Tariff)', 'Protectionism (Trade)', 'United States Politics and Government', 'China'];1284
Under Government Pressure, Apple Pulls Security Feature in Britain;The New York Times;Technology;21/02/2025;Law enforcement in the country was pressuring the company to create a tool that would act like a back door into customers’ data.;['Cloud Computing', 'Computers and the Internet', 'iPhone', 'Computer Security', 'Apple Inc', 'iCloud', 'Great Britain', 'Data Storage', 'Regulation and Deregulation of Industry'];782
Snow White and the Seven Kajillion Controversies;The New York Times;Business;20/03/2025;The dwarfs. The casting. The politics of the lead actress. And that wig! Is Disney’s live-action remake of the classic film doomed by culture war skirmishes?;['Movies', 'Snow White (Movie)', 'Actors and Actresses', 'Animated Films', 'Walt Disney Company', 'Gadot, Gal (1985- )', '', 'Platt, Marc (1957- )', 'Dwarfism', 'Race and Ethnicity', 'Diversity Initiatives', 'Fans (Persons)', 'Snow White and the Seven Dwarfs (Movie)', 'Box Office Sales'];3236
E.U. Accuses Apple and Google of Unfair Practices, Risking Trump’s Ire;The New York Times;Technology;19/03/2025;European Union regulators said the tech giants likely violated the law by unfairly boxing out smaller competitors, adding to tensions between Europe and the United States.;['Apple Inc', 'Google Inc', 'Regulation and Deregulation of Industry', 'Antitrust Laws and Competition Issues', 'Computers and the Internet', 'European Union', 'European Commission', 'Trump, Donald J', 'United States International Relations'];585
Apple and Meta Are First to Be Hit by E.U. Digital Competition Law;The New York Times;Technology;23/04/2025;The European Commission said the Silicon Valley companies violated the Digital Markets Act, a law meant to crimp the power of the largest tech firms.;['Computers and the Internet', 'Social Media', 'Regulation and Deregulation of Industry', 'United States Politics and Government', 'Fines (Penalties)', 'Antitrust Laws and Competition Issues', 'Mobile Applications', 'United States International Relations', 'Apple Inc', 'European Commission', 'European Union', 'Meta Platforms Inc', 'Facebook Inc', 'Instagram Inc'];835
What’s Wrong With Apple?;The New York Times;Technology;11/04/2025;Even before the threat of President Trump’s tariffs, there were questions about the company’s inability to make good on new ideas.;['Apple Inc', 'Computers and the Internet', 'Artificial Intelligence', 'Computer Chips', 'Virtual Reality (Computers)', 'Cook, Timothy D', 'Giannandrea, John', 'International Trade and World Market', 'Customs (Tariff)', 'United States Politics and Government', 'Trump, Donald J'];1190
Apple Plunges 9%, Leading a Tech Sell-Off;The New York Times;Business;03/04/2025;The company counts on the sale of devices for three-quarters of its nearly $400 billion in annual revenue, and it makes almost all of its iPhones, iPads and Macs overseas.;['Stocks and Bonds', 'iPhone', 'Prices (Fares, Fees and Rates)', 'International Trade and World Market', 'Apple Inc', 'China', 'India', 'Vietnam', 'Customs (Tariff)'];944
Tech’s Trump Whisperer, Tim Cook, Goes Quiet as His Influence Fades;The New York Times;Technology;26/05/2025;Apple’s chief executive has gone from winning President Trump’s praise to drawing his ire, deepening the company’s woes in a very bad year.;['Cook, Timothy D', 'Trump, Donald J', 'Apple Inc', 'Customs (Tariff)', 'iPhone', 'Factories and Manufacturing', 'United States Politics and Government', 'International Trade and World Market'];1141
Trump Turns Back to His Trade War, Threatening Europe and Apple;The New York Times;U.S.;23/05/2025;The president threatened both Apple and the European Union with higher tariffs on Friday, saying trade talks with the Europeans had stalled.;['Customs (Tariff)', 'Trump, Donald J', 'United States Politics and Government', 'United States International Relations', 'United States Economy', 'International Trade and World Market', 'Protectionism (Trade)', 'Apple Inc', 'European Union', 'Europe', 'Stocks and Bonds'];1782
Fortnite Returns to Apple’s App Store After Scoring a Legal Victory;The New York Times;Business;21/05/2025;Apple kicked the popular game out of the App Store nearly five years ago, prompting a court battle that was partially resolved on Tuesday.;['Mobile Applications', 'Computer and Video Games', 'Antitrust Laws and Competition Issues', 'Smartphones', 'Mobile Commerce and Payments', 'Apple Inc', 'Epic Games', 'United States'];584
Apple’s A.I. Ambitions for China Provoke Washington’s Resistance;The New York Times;Technology;17/05/2025;The Trump administration and congressional officials have raised concerns about a deal to put a Chinese company’s artificial intelligence on iPhones.;['Artificial Intelligence', 'Computers and the Internet', 'International Relations', 'iPhone', 'Smartphones', 'Alibaba Group Holding Ltd', 'Apple Inc', 'Cook, Timothy D'];1240
How Apple Created a Legal Mess When It Skirted a Judge’s Ruling;The New York Times;Technology;09/05/2025;Court documents show the company commissioned a sham report and lied on the stand to justify its actions, which will cast a shadow over future lawsuits.;['Apple Inc', 'Mobile Applications', 'Computers and the Internet', 'Antitrust Laws and Competition Issues', 'Cook, Timothy D', 'E-Commerce', 'Suits and Litigation (Civil)', 'Computer and Video Games', 'Prices (Fares, Fees and Rates)', 'Epic Games', 'Gonzalez Rogers, Yvonne (1965- )', 'Decisions and Verdicts'];1241
Apple Tops Wall Street’s Profit Expectations but Tariff Fears Still Loom;The New York Times;Technology;01/05/2025;Tim Cook, the company’s C.E.O., said he expected $900 million in extra costs this quarter because of President Trump’s tariffs.;['Company Reports', 'Mobile Applications', 'Prices (Fares, Fees and Rates)', 'Computers and the Internet', 'Customs (Tariff)', 'iPhone', 'Artificial Intelligence', 'Apple Inc', 'Cook, Timothy D', 'China'];839
